p cnf 60 114
7 8 9 0
-7 -8 -9 0
7 13 19 0
-7 -13 -19 0
13 14 15 0
-13 -14 -15 0
13 19 25 0
-13 -19 -25 0
-19 0
25 26 27 0
-25 -26 -27 0
25 31 37 0
-25 -31 -37 0
31 32 33 0
-31 -32 -33 0
31 37 43 0
-31 -37 -43 0
-37 0
8 9 10 0
-8 -9 -10 0
8 14 20 0
-8 -14 -20 0
14 0
20 0
26 27 28 0
-26 -27 -28 0
26 32 38 0
-26 -32 -38 0
32 0
38 39 40 0
-38 -39 -40 0
38 44 50 0
-38 -44 -50 0
9 10 11 0
-9 -10 -11 0
9 15 21 0
-9 -15 -21 0
15 0
21 22 23 0
-21 -22 -23 0
21 27 33 0
-21 -27 -33 0
27 28 29 0
-27 -28 -29 0
27 33 39 0
-27 -33 -39 0
33 34 35 0
-33 -34 -35 0
33 39 45 0
-33 -39 -45 0
39 40 41 0
-39 -40 -41 0
39 45 51 0
-39 -45 -51 0
10 11 12 0
-10 -11 -12 0
10 16 22 0
-10 -16 -22 0
16 17 18 0
-16 -17 -18 0
16 22 28 0
-16 -22 -28 0
22 23 24 0
-22 -23 -24 0
22 28 34 0
-22 -28 -34 0
28 29 30 0
-28 -29 -30 0
28 34 40 0
-28 -34 -40 0
34 35 36 0
-34 -35 -36 0
34 40 46 0
-34 -40 -46 0
40 0
11 12 13 0
-11 -12 -13 0
11 17 23 0
-11 -17 -23 0
-17 0
23 24 25 0
-23 -24 -25 0
23 29 35 0
-23 -29 -35 0
-29 0
35 36 37 0
-35 -36 -37 0
35 41 47 0
-35 -41 -47 0
41 42 43 0
-41 -42 -43 0
41 47 53 0
-41 -47 -53 0
12 13 14 0
-12 -13 -14 0
12 18 24 0
-12 -18 -24 0
18 19 20 0
-18 -19 -20 0
18 24 30 0
-18 -24 -30 0
24 25 26 0
-24 -25 -26 0
24 30 36 0
-24 -30 -36 0
-30 0
36 37 38 0
-36 -37 -38 0
36 42 48 0
-36 -42 -48 0
42 43 44 0
-42 -43 -44 0
42 48 54 0
-42 -48 -54 0
